,Title,Date,Summary,Rating,Metascore
251,You Don't Nomi,"Jun 9, 2020","Paul Verhoeven's Showgirls was met by critics and audiences with near universal derision. You Don't Nomi traces the film's redemptive journey from notorious flop to cult classic, and maybe even masterpiece.",Unrated,66
252,Pieces of a Woman,"Dec 30, 2020","Martha (Vanessa Kirby) and Sean (Shia LaBeouf) are a Boston couple on the verge of parenthood whose lives change irrevocably when a home birth ends in unimaginable tragedy. Thus begins a yearlong odyssey for Martha, who must navigate her grief while working through fractious relationships with her husband and her domineering mother (Ellen Burstyn), along with the publicly vilified midwife (Molly Parker), whom she must face in court. ",R,66
253,Tommaso,"Jun 5, 2020","Abel Ferrara’s first dramatic feature since 2014’s Pasolini reteams the filmmaker and his frequent lead Willem Dafoe, who plays the title character, an older American expat living in Rome with his young wife and their daughter. Disoriented by his past misgivings and subsequent, unexpected blows to his self-esteem, Tommaso wades through this late chapter of his life with an increasingly impaired grasp on reality as he prepares for his next film.",Not Rated,66
254,Young Ahmed,"Feb 21, 2020","Despite the desperate protestations of his single mother (Claire Bodson), a Muslim teenager (Idir Ben Addi) in a small Belgian town is being gradually radicalized into extremism.  He winds up hatching a murderous plot targeting his beloved teacher (Myriem Akheddiou). ",Not Rated,66
255,Scare Me,"Oct 1, 2020","Fred (Josh Ruben), a frustrated copywriter, checks in to a winter cabin to start his first novel. While jogging in the nearby woods, he meets Fanny (Aya Cash), a successful and smug young horror author who fuels his insecurities. During a power outage, Fanny challenges Fred to tell a scary story. As a storm sets in, they pass the time spinning spooky tales fueled by the tensions between them, and Fred is forced to confront his ultimate fear: Fanny is the better storyteller. The stakes are raised when they’re visited by a horror fan (Chris Redd) who delivers levity (and a pizza) to the proceedings.",Not Rated,66
256,Becoming,"May 6, 2020","Becoming is an intimate look into the life of former First Lady Michelle Obama during a moment of profound change, not only for her personally but for the country she and her husband served over eight impactful years in the White House. The film offers a rare and up-close look at her life, taking viewers behind the scenes as she embarks on a 34-city tour that highlights the power of community to bridge our divides and the spirit of connection that comes when we openly and honestly share our stories.",PG,66
257,Straight Up,"Feb 28, 2020","Todd is a hyper-articulate, obsessive compulsive gay twentysomething whose fear of dying alone leads him to a baffling conclusion: he might not be gay after all. When he meets Rory, a whip-smart struggling actress with her own set of insecurities, the two forge a relationship that’s all talk and no sex. ",Not Rated,66
258,The Way Back,"Mar 6, 2020","Jack Cunningham (Ben Affleck) once had a life filled with promise. In high school, he was a basketball phenom with a full university scholarship, when suddenly, for reasons unknown, he walked away from the game, forfeiting his future. Now years later, Jack is spiraling down, triggered by an unspeakable loss, and drowning in the alcoholism that cost him his marriage and any hope for a better life.  When he is asked to coach the basketball team at his alma mater, which has fallen far since his glory days, he reluctantly accepts, surprising no one more than himself. As the boys start to come together as a team and win, Jack may have finally found a reason to confront the demons that have derailed him. But will it be enough to fill the void, heal the deep wounds of his past, and set him on the road to redemption? ",R,66
259,A Good Woman Is Hard to Find,"May 8, 2020","Recently widowed mother of two, Sarah (Sarah Bolger). is desperate to know who murdered her husband in front of her young son, rendering him mute. Coerced into helping a low-life drug dealer stash narcotics stolen from the local Mr. Big, she’s forced into taking drastic action to protect her children, evolving from downtrodden submissive to take-charge vigilante. [Film Movement]",Not Rated,65
260,Tigertail,"Apr 10, 2020","Pin-Jui (Hong-Chi Lee) is a free-spirited yet impoverished young Taiwanese factory worker, who makes the difficult decision to leave his homeland — and the woman he loves — behind in order to seek better opportunities in America. But years of monotonous work and an arranged marriage devoid of love or compassion leave an older Pin-Jui (Tzi Ma) a shadow of his former self. Unable to sympathize with his daughter Angela (Christine Ko) and at risk of living out his retirement in solitude, Pin-Jui must reconnect with his past in order to finally build the life he once dreamed of having.",PG,65
261,Pinocchio,"Dec 25, 2020","Shot in stunning Italian locations, Matteo Garrone’s rich world of mystery and wonder stars Academy Award® winning actor Roberto Benigni as Geppetto, the old woodcarver whose puppet creation, Pinocchio, magically comes to life with dreams of becoming a real boy.  Easily led astray, Pinocchio (nine-year-old Federico Ielapi) tumbles from one misadventure to another as he is tricked, kidnapped and chased by bandits through a wonderful world full of imaginative creatures – from the belly of a giant fish, to the Land Of Toys and the Field Of Miracles.",PG-13,65
262,Bill & Ted Face the Music,"Aug 28, 2020","When we last met Bill and Ted they were time-traveling teenagers trying to pass history class and win the battle of the bands. Once prophesized to save the universe with their rock and roll, middle age and the responsibilities of family have caught up with these two best friends who have not yet fulfilled their destiny. They’ve written thousands of tunes, but they have yet to write a good one, much less the greatest song ever written. With the fabric of time and space tearing around them, a visitor from the future warns our heroes that only their song can save life as we know it. Out of luck and fresh out of inspiration, Bill and Ted set out on a time travel adventure to seek the song that will set their world right and bring harmony in the universe as we know it. Together with the aid of their daughters, a new crop of historical figures, and some sympathetic music legends, Bill and Ted find much, much more than just a song.",PG-13,65
263,A Call to Spy,"Oct 2, 2020","As Great Britain’s forces were stretched thin during World War II, Winston Churchill’s Special Operations Executive (SOE) began to enlist women as spies. Their daunting mission: conduct sabotage and build a resistance. Spymistress Vera Atkins, later the inspiration for Ian Fleming’s Miss Moneypenny in the James Bond franchise, was the chief recruiter for this secret army. Atkins selected two unusual candidates: Virginia Hall, an American journalist from Baltimore hampered by a wooden leg, and Noor Inayat Khan, a wireless officer of Indian descent and an avowed pacifist. Together, they worked to undermine the Nazi regime in France. The courage, sacrifices and grit of these three women helped quell the Nazi occupation – and ultimately turned the tide of the war.",PG-13,65
264,Critical Thinking,"Sep 4, 2020","Based on a true story from 1998, five LatinX and Black teenagers from the toughest underserved ghetto in Miami fight their way into the National Chess Championship under the guidance of their unconventional but inspirational teacher.",Not Rated,65
265,Bull,"May 1, 2020","After trashing her neighbor's house in a fit of youthful defiance, 14-year-old Kris (Amber Havard) seems destined to follow in her mother's footsteps to the state penitentiary. To make amends, she is forced to help Abe Turner (Rob Morgan), an ex-bull rider scraping by on the Texas rodeo circuit, with errands at home and at his work. While traveling with Abe, she discovers a passion for bull riding.  Yet, as Kris sets out to learn the dangerous sport, bad influences lure her back into delinquent ways. Meanwhile, Abe struggles with the aches and pains of growing older and aging out of the only life he has ever known. Together, Kris and Abe forge an unexpected connection, helping each other see new possibilities and hope for the future before it’s too late.",Not Rated,65
266,Creem: America's Only Rock 'n' Roll Magazine,"Aug 7, 2020","Capturing the messy upheaval of the '70s just as rock was re-inventing itself, the film explores CREEM Magazine's humble beginnings in post-riot Detroit, follows its upward trajectory from underground paper to national powerhouse - spotlighting iconic features, interviews, and anecdotes along the way - then bears witness to its imminent demise following the tragic and untimely deaths of its visionary publisher, Barry Kramer, and its most famous alum and genius clown prince, Lester Bangs, a year later. Fifty years after publishing its first issue, ""America's Only Rock 'n' Roll Magazine"" remains a seditious spirit in music and culture.",TV-MA,65
267,Helmut Newton: The Bad and the Beautiful,"Jul 24, 2020","One of the great masters of photography, Helmut Newton made a name for himself exploring the female form, and his cult status continues long after his tragic death in a Los Angeles car crash in 2004. Newton worked around the globe, from Singapore to Australia to Paris to Los Angeles, but Weimar Germany was the visual hallmark of his work. Newton's unique and striking way of depicting women has always posed the question: did he empower his subjects or treat them as sexual objects? [Kino Lorber]",Unrated,65
268,Miss Americana,"Jan 31, 2020",A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,TV-MA,65
269,The Audition,"Jun 26, 2020","Anna Bronsky is a violin teacher at a music-focused high school. Despite the opposition of all other teachers, Anna drives through the admission of a student, Alexander, in whom she detects a remarkable  talent. Committed, she prepares him for the intermediate exam and neglects her family – her son Jonas, whom she brings into competition with her new student, and her husband Philippe. Her colleague Christian, with whom she has an affair, persuades her to join a quintet. When she fails during their joint concert, the pressure mounts and she focuses all her attention on her student Alexander. Come the day of the exam, events take a tragic turn.",Not Rated,65
270,Aviva,"Jun 12, 2020","The character of Aviva, played by both Zina Zinchenko (and at times by Or Schraiber), is a young Parisian who develops an online romance with Eden, played by Tyler Phillips (and at times Bobbie Jene Smith), a New Yorker. After a long courtship they meet in person and fall in love, settling into an intimate relationship that leads to marriage, but one, as many are, laced with conflicts. Incorporating exuberant dance sequences, and featuring a pair of principal characters played by four different actors daringly expressing both masculine and feminine sides, “Aviva” captures a restless and changing today where who we are as women and men, and how we navigate the world, is up for grabs.",Unrated,65
271,Ride Your Wave,"Feb 19, 2020","Hinako is a surf-loving college student who has just moved to a small seaside town. When a sudden fire breaks out at her apartment building, she is rescued by Minato, a handsome firefighter, and the two soon fall in love. Just as they become inseparable, Minato loses his life in an accident at sea. Hinako is so distraught that she can no longer even look at the ocean, but one day she sings a song that reminds her of their time together, and Minato appears in the water. From then on, she can summon him in any watery surface as soon as she sings their song, but can the two really remain together forever? And what is the real reason for Minato's sudden reappearance?",Not Rated,65
272,Swallow,"Mar 6, 2020","On the surface, Hunter (Haley Bennett) appears to have it all. A newly pregnant housewife, she seems content to spend her time tending to an immaculate home and doting on her Ken-doll husband, Richie (Austin Stowell). However, as the pressure to meet her controlling in-laws and husband's rigid expectations mounts, cracks begin to appear in her carefully created facade. Hunter develops a dangerous habit, and a dark secret from her past seeps out in the form of a disorder called pica - a condition that has her compulsively swallowing inedible, and oftentimes life-threatening, objects. [IFC Midnight]",R,65
273,Gretel & Hansel,"Jan 31, 2020","A long time ago in a distant fairytale countryside, a young girl (Sophia Lillis) leads her little brother (Sammy Leakey) into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil. ",PG-13,64
274,The Eight Hundred,"Aug 28, 2020","From the acclaimed filmmaker behind Mr. Six comes a riveting war epic. In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",Not Rated,64
275,The Other Lamb,"Apr 3, 2020","For her entire life, the cult she was born into has been all that teenage Selah (Raffey Cassidy) has known. Along with a band of similarly cloistered young women she lives seemingly unstuck in time, cut off from modern society in a remote forest commune presided over by a man called Shepherd (Michiel Huisman), a controlling, messiah-like figure with a frightening dark side. But when her insular world is rocked by a series of nightmarish visions and disturbing revelations, Selah begins to question everything about her existence—including her allegiance to the increasingly dangerous Shepherd. [IFC Midnight]",Unrated,64
276,Vivarium,"Mar 27, 2020","Tom and Gemma (Jesse Eisenberg and Imogen Poots) are looking for the perfect home. When a strange real-estate agent takes them to Yonder, a mysterious suburban neighborhood of identical houses, Tom and Gemma can’t leave quick enough. But when they try to exit the labyrinth-like housing development, each road takes them back to where they started. Soon, they realize their search for a dream home has plunged them into a terrifying nightmare.",R,64
277,Come to Daddy,"Feb 7, 2020",A man in his thirties travels to a remote cabin to reconnect with his estranged father.,TV-14,64
278,Big Time Adolescence,"Mar 13, 2020","A suburban teenager comes of age under the destructive guidance of his best friend, an aimless college dropout.",R,64
279,Spelling the Dream,"Jun 3, 2020","Spelling the Dream explores the near two decade trend of Indian American students dominating the Scripps National Spelling Bee. Since 1999, 19 out of the 23 winners have been of South-Asian descent, including the last 11 in a row. Over the course of a year leading up to the 2017 Scripps Bee, ""Breaking the Bee"" follows four Indian-American children of different ages to learn about their family life, witness them train, explore the ups and downs of chasing a dream, and offer a candid look at what it really takes to become the best. These students are not against each other. They are against the dictionary. Come the national finals, who will be the winner standing on stage as confetti rains down, and how long will this trend last?",TV-G,64
280,Us Kids,"Oct 30, 2020","Sparked by the plague of gun violence ravaging their schools, Us Kids chronicles the March For Our Lives movement over several years. The documentary follows Emma Gonzalez, David Hogg, Cameron Kasky, Samantha Fuentes, gun violence survivors, and teenage activists as they pull together the largest youth protest in American history. Their movement went global with rallies on six continents and in over 700 cities in every state across the nation, expanding to address racial injustice, a growing public health crisis, and shocking a political system into change. ",Not Rated,64
281,All Together Now,"Aug 28, 2020","Amber Appleton (Auli’i Cravalho) remains an optimist even when her personal life is far less stable than it appears on the surface. A musically gifted high school student with aspirations to attend Carnegie Mellon, Amber balances her beloved high school drama club helmed by Mr. Franks (Fred Armisen) with working long hours at a donut shop to help support herself and her down-on-her-luck single mom (Justina Machado). She also spends time at the local retirement community, giving care and attention to her favorite pessimistic resident (Carol Burnett). When new obstacles present themselves that threaten her dreams, Amber must learn to lean on the strength of her chosen family to move forward.",PG,64
282,The Beach House,"Jul 9, 2020","Escaping to his family’s beach house to reconnect, Emily and Randall find their off-season trip interrupted by Mitch and Jane Turner, an older couple acquainted with Randall’s estranged father. Unexpected bonds form as the couples let loose and enjoy the isolation, but it all takes an ominous turn as increasingly strange environmental phenomena begin to warp their peaceful evening. As the effects of an infection become evident, Emily struggles to make sense of the contagion before it’s too late.

",Not Rated,64
283,Skin: A History of Nudity in the Movies,"Aug 18, 2020","A definitive documentary on the history of nudity in the movies, beginning with the silent movie era through present day, examining the changes in morality that led to the use of nudity in films while emphasizing the political, sociological and artistic changes that shaped this rich history.  Skin delves  into the gender bias concerning nudity in motion pictures and will follow the revolution that has pushed for gender equality in feature films today. A deep discussion of pre-code Hollywood and its amoral roots, the censorship that “cleaned up” Hollywood and how the MPAA was formed leads into a discussion of how nudity changed cinematic culture through the decades. It culminates in a discussion of “what are nude scenes like in the age of the #METOO movement?”",Not Rated,64
284,The Traitor,"Jan 31, 2020","In the early 1980’s, an all out war rages between Sicilian mafia bosses over the heroin trade. Tommaso Buscetta, a made man, flees to hide out in Brazil. Back home, scores are being settled and Buscetta watches from afar as his sons and brother are killed in Palermo, knowing he may be next. Arrested and extradited to Italy by the Brazilian police, Buscetta makes a decision that will change everything for the Mafia: He decides to meet with Judge Giovanni Falcone and betray the eternal vow he made to the Cosa Nostra.",R,64
285,Greenland,"Dec 18, 2020","A family fights for survival as a planet-killing comet races to Earth.  John Garrity (Gerard Butler), his estranged wife Allison (Morena Baccarin), and young son Nathan make a perilous journey to their only hope for sanctuary.  Amid terrifying news accounts of cities around the world being leveled by the comet’s fragments, the Garrity’s experience the best and worst in humanity while they battle the increasing panic and lawlessness surrounding them.  As the countdown to global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",PG-13,64
286,The Lodge,"Feb 7, 2020","A family retreats to their remote winter cabin over the holidays. When the father (Richard Armitage) is forced to abruptly depart for work, he leaves his children, Aidan (Jaeden Martell) and Mia (Lia McHugh) in the care of his new girlfriend, Grace (Riley Keough). Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace’s dark past.",R,64
287,Greyhound,"Jul 10, 2020","In the early days of WWII, an international convoy of 37 Allied ships, led by captain Ernest Krause (Tom Hanks) in his first command of a U.S. destroyer, crosses the treacherous North Atlantic while hotly pursued by wolf packs of Nazi U-boats.",PG-13,64
288,Synchronic,"Oct 23, 2020","When New Orleans paramedics and longtime best friends Steve (Anthony Mackie) and Dennis (Jamie Dornan) are called to a series of bizarre, gruesome accidents, they chalk it up to the mysterious new party drug found at the scene. But after Dennis’s oldest daughter suddenly disappears, Steve stumbles upon a terrifying truth about the supposed psychedelic that will challenge everything he knows about reality—and the flow of time itself.",R,64
289,I'm Your Woman,"Dec 4, 2020","In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",R,63
290,Banana Split,"Mar 27, 2020","April (Hannah Marks) has spent the last two years of high school in a relationship with Nick (Dylan Sprouse), from first frantic make-out session to final tear-stained breakup. In the aimless summer between graduation and college, the newly single April mends her heartbreak by striking up an unexpected friendship with an unlikely candidate: Nick’s new girlfriend, Clara (Liana Liberato).",R,63
291,Blood on Her Name,"Feb 28, 2020",A woman's panicked decision to cover up an accidental killing spins out of control when her conscience demands she return the dead man's body to his family.,Not Rated,63
292,Blood Quantum,"Apr 28, 2020","The dead are coming back to life outside. But in the isolated Mi'gmaq reserve of Red Crow, the indigenous inhabitants are immune to the zombie plague. Traylor, the tribal sheriff, must protect his son's pregnant girlfriend, apocalyptic refugees and reserve riffraff from the hordes of walking white corpses. [Shudder]",Not Rated,63
293,Let Him Go,"Nov 6, 2020","Following the loss of their son, retired sheriff George Blackledge (Kevin Costner) and his wife Margaret (Diane Lane) leave their Montana ranch to rescue their young grandson. When they discover that he is in the clutches of a dangerous family living off the grid in the Dakotas, George and Margaret must fight for the survival of their family.",R,63
294,12 Hour Shift,"Oct 2, 2020","Nurse Mandy (Angela Bettis) is desperate to make it through her double shift without incident. This is particularly hard to do when you’re an addict and are also involved in a black market organ-trading scheme. When her hapless but dangerous cousin Regina (Chloe Farnworth) messes up a kidney delivery, chaos descends on the Arkansas hospital as Mandy and Regina frantically try to secure a replacement organ through any means necessary. Things grow increasingly complicated when injured convict Jefferson (David Arquette) is brought in, and events spiral even further out of control.",Not Rated,63
295,Love and Monsters,"Oct 16, 2020","Seven years after the Monsterpocalypse, Joel Dawson (Dylan O'Brien), along with the rest of humanity, has been living underground ever since giant creatures took control of the land. After reconnecting over radio with his high school girlfriend Aimee (Jessica Henwick), who is now 80 miles away at a coastal colony, Joel begins to fall for her again. As Joel realizes that there's nothing left for him underground, he decides against all logic to venture out to Aimee, despite all the dangerous monsters that stand in his way. ",PG-13,63
296,Uncorked,"Mar 27, 2020","Fueled by his love for wine, Elijah enrolls in a course to become a master sommelier, an elite designation given only to a handful who are able to pass its notoriously difficult exam. It's a dream that upends the expectations of his father, Louis (Courtney B. Vance), who insists Elijah take over the popular Memphis barbeque joint that's been passed down from father to son since its inception. Elijah struggles with the demands of school and a new relationship, while Louis wrestles with the feelings of his son rejecting the family business until a tragedy forces both of them to slow things down. [Netflix]",TV-MA,62
297,Misbehaviour,"Sep 25, 2020","In 1970, the Miss World competition took place in London, hosted by US comedy legend, Bob Hope. At the time, Miss World was the most-watched TV show on the planet with over 100 million viewers. Claiming that beauty competitions demeaned women, the newly formed Women's Liberation Movement achieved overnight fame by invading the stage and disrupting the live broadcast of the competition. Not only that, when the show resumed, the result caused uproar: the winner was not the Swedish favourite but Miss Grenada, the first black woman to be crowned Miss World. In a matter of hours, a global audience had witnessed the patriarchy driven from the stage and the Western ideal of beauty turned on its head.",Not Rated,62
298,Amulet,"Jul 24, 2020","Following an accident that leaves him homeless in London, former soldier Tomaz is brought to the rotting home of Magda, a lonely woman in desperate need of help as she looks after her dying mother. Though at first resistant, Magda eventually welcomes him into their lives and allows him to help her care for them. But as he worms his way into their routine and begins to fall for Magda, Tomaz starts to notice strange, unexplainable, and ugly phenomena. Something seems very wrong with the mysterious old woman who never leaves the top floor, and Magda may in fact be enslaved to do her otherworldly bidding.",R,62
299,Abe,"Apr 17, 2020","Twelve-year-old Abe (Noah Schnapp) is an aspiring chef who wants his cooking to bring people together--but his half-Israeli, half-Palestinian family has never had a meal that didn't end in a fight. Ditching his traditional summer camp, Abe begins working with Chico (Seu Jorge), an adventurous street chef who encourages him to think outside his old cuisines. But when Abe's deceit is uncovered, he must grapple with his family, his background, and his passions, and whether even the most lovingly-cooked family dinner can heal old wounds.",TV-PG,62
300,Most Wanted,"Jul 24, 2020","Inspired by the gripping true story, an investigative journalist (Josh Hartnett) unravels a twisted case of entrapment wherein a guy from the wrong side of the tracks, Daniel (Antoine-Olivier Pilon), is forced into a dangerous drug deal against his will and is sentenced to 100 years in a Thai prison.  As Daniel endures torture and abuse, the journalist must track down the shady undercover cops benefiting off the conspiracy, while also fighting for Daniel’s freedom. ",R,62
301,The Photograph,"Feb 14, 2020","When famed photographer Christina Eames unexpectedly dies, she leaves her estranged daughter Mae Morton (Issa Rae) hurt, angry and full of questions. When a photograph tucked away in a safe-deposit box is found, Mae finds herself on a journey delving into her mother's early life and ignites a powerful, unexpected romance with a rising-star journalist, Michael Block (LaKeith Stanfield).",PG-13,62
302,Funny Boy,"Dec 10, 2020","Shot on location and set in Sri Lanka in the 1970’s and 80’s, Funny Boy explores the awakening of sexual identity by a young boy named Arjie. As political tensions escalate to a boiling point between the minority Tamils and the majority Sinhalese, a young boy comes of age in a society and family that doesn’t embrace difference outside of societal norms. The film chronicles Arjie’s struggle to find balance and self-love despite the absence of empathy and understanding.",Not Rated,62
303,H is for Happiness,"Sep 18, 2020","A twelve year old girl with boundless optimism and a unique view of the world, is inspired by the strange new boy at school and sets out to mend her broken family - whatever it takes.",Not Rated,62
304,Charm City Kings,"Oct 8, 2020","Fourteen-year-old Mouse (Jahi Di’Allo Winston) desperately wants to join the Midnight Clique, an infamous group of Baltimore dirt-bike riders who rule the summertime streets. His older brother, Stro, was their top rider before his tragic death—a loss that consumes Mouse as much as his passion for bikes. Mouse’s mom (Teyonah Parris) and his police mentor, Detective Rivers (William Catlett), work overtime to help the charismatic teen reach his full potential, but when the Midnight Clique’s leader, Blax (Meek Mill), takes the boy under his wing, the lure of revving his own dirt bike skids Mouse toward a road way past the straight and narrow.",R,62
305,Black Box,"Oct 6, 2020","After losing his wife and his memory in a car accident, a single father undergoes an agonizing experimental treatment that causes him to question who he really is.",Not Rated,62
306,The Rental,"Jul 24, 2020","Two couples on an oceanside getaway grow suspicious that the host of their seemingly perfect rental house may be spying on them. Before long, what should have been a celebratory weekend trip turns into something far more sinister, as well-kept secrets are exposed and the four old friends come to see each other in a whole new light.",R,62
307,Words on Bathroom Walls,"Aug 21, 2020","Witty and introspective Adam (Charlie Plummer) appears to be your typical young adult – a little unkempt with raging hormones and excited about a future pursuing his dream of becoming a chef.  Expelled halfway through his senior year following an incident in chemistry class, Adam is diagnosed with a mental illness.   Sent to a Catholic academy to finish out his term, Adam has little hope of fitting in and just wants to keep his illness secret until he can enroll in culinary school. But when he meets outspoken and fiercely intelligent Maya (Taylor Russell), there is an instant soulful and comforting connection.  As their romance deepens, she inspires him to open his heart and not be defined by his condition. Now, with the love and support of his girlfriend and family, Adam is hopeful for the very first time that he can see the light and triumph over the challenges that lie ahead.",PG-13,61
308,All the Bright Places,"Feb 28, 2020","All The Bright Places tells the story of Violet Markey (Elle Fanning) and Theodore Finch (Justice Smith), who meet and change each other’s lives forever. As they struggle with the emotional and physical scars of their past, they come together, discovering that even the smallest places and moments can mean something. ",TV-MA,61
309,Horse Girl,"Feb 7, 2020","Sarah (Alison Brie), a socially isolated arts and crafts store employee, finds herself more content in the company of horses and supernatural crime shows than people. But when a series of strangely surreal dreams upend the simplicity of her waking life, Sarah struggles to distinguish her visions from reality.",R,61
310,The True Adventures of Wolfboy,"Oct 30, 2020","Paul lives an isolated life with his father in upstate New York. He finds making friends impossible due to a rare condition he has known as congenital hypertrichosis - an affliction that causes an abnormal amount of hair growth all over his face and body. On his 13th birthday, Paul receives a mysterious gift that compels him to run away and seek out the mother he has never known.",PG-13,61
311,Unpregnant,"Sep 10, 2020","Seventeen-year-old Veronica (Haley Lu Richardson) never thought she’d want to fail a test—that is, until she finds herself staring at a piece of plastic with a blue plus. With a promising college-bound future now disappearing before her eyes, Veronica considers a decision she never imagined she’d have to make. This never-taken-lightly decision leads her on a 1000 mile road trip to New Mexico over three days with her ex-best friend, Bailey (Barbie Ferreira) where they discover sometimes the most important choice you’ll make in life is who your friends are.",PG-13,61
312,Once Were Brothers: Robbie Robertson and The Band,"Feb 21, 2020","Once Were Brothers: Robbie Robertson and The Band is a confessional, cautionary, and occasionally humorous tale of Robertson’s young life and the creation of one of the most enduring groups in the history of popular music, The Band. The film is a moving story of Robertson’s personal journey, overcoming adversity and finding camaraderie alongside the four other men who would become his brothers in music, together making their mark on music history. Once Were Brothers blends rare archival footage, photography, iconic songs and interviews with Robertson’s friends and collaborators including Martin Scorsese, Bruce Springsteen, Eric Clapton, Van Morrison, and more.",R,61
313,The Informer,"Nov 6, 2020","Honorably discharged Special Ops soldier Pete Koslow's (Joel Kinnaman) world is turned upside-down when he is jailed after a fight to protect his wife (Ana de Armas). He's given a chance for early release by becoming an informant for the FBI (Rosamund Pike and Clive Owen) and using his covert skills in an operation to take down The General, the most powerful crime boss in New York. But when the FBI sting meant to finally earn Koslow his freedom results in the death of an undercover NYPD cop, Koslow finds himself caught in the crossfire between the mob and the FBI. The General insists Koslow takes the heat and sends him back to prison to spearhead a drug operation from inside, and the FBI affirms that going back to jail to do The General's bidding is the only way for Koslow to keep his deal with them alive. Caught in a world of impossible choices, Koslow must return to prison, where he formulates a plan to escape the clutches of three of New York City's most powerful organizations - the mob, the NYPD and the FBI - in order to save himself and his family.",R,61
314,Lingua Franca,"Aug 26, 2020","Olivia (Isabel Sandoval), an undocumented Filipino transwoman, works as a caregiver to Olga (Lynn Cohen), an elderly Russian woman, in Brighton Beach, Brooklyn. When Olivia runs out of options to attain legal status in the US, she becomes romantically involved with Alex (Eamon Farren), Olga's adult grandson, in the pursuit of a marriage-based green card.",Unrated,61
315,Sputnik,"Aug 14, 2020","Due to her controversial methods, young doctor Tatiana Yurievna (Oksana Akinshina) is on the precipice of losing her medical license. Her career may not be over, though. After she’s recruited by the military, Tatiana is brought to a secure science research facility to assess a very special case, that of Konstantin Sergeyevich (Pyotr Fyodorov), a cosmonaut who survived a mysterious space accident and has returned to Earth with a unique condition: there’s something living inside of him that only shows itself late at night. The military has nefarious plans for it. Tatiana wants to stop it from killing Konstantin. And the creature itself thrives on destruction. [IFC Midnight]",Not Rated,61
316,Elephant,"Apr 3, 2020","Narrated by Meghan, The Duchess of Sussex, Disneynature’s Elephant follows African elephant Shani and her spirited son Jomo as their herd make an epic journey hundreds of miles across the vast Kalahari Desert, from the Okavango delta to the Zambezi river, just as countless generations of their ancestors have done before.",G,61
317,Disappearance at Clifton Hill,"Feb 28, 2020","Following the death of her mother, Abby (Tuppence Middleton), a troubled young woman with a checkered past, returns to her hometown of Niagara Falls and the dilapidated motel her family used to run. While there, she finds herself drawn once again into a mystery that has haunted her since childhood: what happened to the young boy she saw being violently abducted in the woods twenty-five years ago? As Abby sets out to find out the truth, she must confront both a shocking, long-buried conspiracy that runs as deep as the falls themselves as well as her own inner demons. [IFC Midnight]",Unrated,61
318,The Wretched,"May 1, 2020","Following his parents’ separation, a rebellious teenage boy, Ben, is sent to live with his father for the summer and work at the local marina in order to gain some form of discipline. The idyllic tourist town offers little solace for him, however, as he is forced to deal with the local, privileged teens and his father’s new girlfriend. Ben’s problems grow increasingly disturbing when he makes a chilling discovery about the family renting the house next door. A malevolent spirit from the woods has taken a hold of the parents and starts playing a sinister game of house, preying upon the children and wiping away any trace of their existence. Ben’s suspicions of the supernatural horrors go unheeded and he launches a perilous crusade in order to put an end to the skin-walking witch’s reign of terror. [IFC Midnight]",Not Rated,61
319,Onward,"Mar 6, 2020","In a suburban fantasy world, two teenage elf brothers, Ian & Barney Lightfoot (Tom Holland & Chris Pratt), embark on an extraordinary quest to discover if there is still a little magic left out there.",TV-PG,61
320,Hunter Hunter,"Dec 18, 2020","Hunter Hunter follows a family living in the remote wilderness earning a living as fur trappers. Joseph Mersault (Devon Sawa), his wife Anne (Camille Sullivan), and their daughter Renée (Summer H. Howell) struggle to make ends meet and think their traps are being hunted by the return of a rogue wolf. Determined to catch the predator in the act, Joseph leaves his family behind to track the wolf. Anne and Renée grow increasingly anxious during Joseph’s prolonged absence and struggle to survive without him. When they hear a strange noise outside their cabin, Anne hopes it is Joseph but instead finds a man named Lou (Nick Stahl), who has been severely injured and left for dead. The longer Lou stays and Joseph is away, the more paranoid Anne becomes, and the idea of a mysterious predator in the woods slowly becomes a threat much closer to home.",Unrated,61
321,Buffaloed,"Feb 14, 2020","Buffalo is the debt collection capital of America, though Peg Dahl (Zoey Deutch) never saw herself in that world. She's bet on her sharp mind—and even sharper mouth—to get her out of town and into an Ivy League university. But when an acceptance letter to the school of her dreams arrives, she quickly realizes the cruel impossibility of paying tuition. A chance phone call changes everything and leads her into the lucrative yet complex and shady business of delinquent debt collection. She's a natural and soon running her own shop, but at what cost?",Not Rated,61
322,Stargirl,"Mar 13, 2020",A boy becomes intrigued by a mysterious and quirky student named Stargirl and spends his time trying to know more about her.,PG,61
